item,ID,itemLabel,stateLabel,countyLabel,latitude,longitude,inception,height in ,focalHeight,range in nauticalmiles,lightCharacteristic,heritageDesignation,image,yearOfTransfer,"
proceeds",satImage,noSatImg,Conveyd Lightstaition
http://www.wikidata.org/entity/Q4849167,Q4849167,Baker Island Light,Maine,Cranberry Isles,44.24120861,-68.19901167,1828,13,32,10,Fl W 10s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/Baker%20Island%20Light%20Station.JPG,2011,,,,federalTransfer
http://www.wikidata.org/entity/Q810448,Q810448,Bass Harbor Head Light,Maine,Hancock County,44.221806,-68.337278,1858,10,17,13,Oc R 4s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/Bass%20harbor%20head%20light%2020041002%20123635%201.1504x1000.jpg,2020,,,,federalTransfer
http://www.wikidata.org/entity/Q5084156,Q5084156,Charleston Light,South Carolina,Sullivan's Island,32.75791667,-79.84325,1960,43,50,26,Fl(2) W 30s,,http://commons.wikimedia.org/wiki/Special:FilePath/Sullivans-Lighthouse.jpg,2008,,,,federalTransfer
http://www.wikidata.org/entity/Q5476370,Q5476370,Fowey Rocks Light,Florida,Miami-Dade County,25.59061111,-80.09666667,1887,34,34,10,"Fl W 10s , 2 R sectors",http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/Fowey%20Lighthouse.jpg,2012,,,x,federalTransfer
http://www.wikidata.org/entity/Q6672695,Q6672695,Long Island Head Light,Massachusetts,Boston,42.330216,-70.957673,1819,16,"36,5",6,Fl W 2.5s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/Long%20Island%20Head%20Lighthouse%20Boston%201900.JPG,2010,,,,federalTransfer
http://www.wikidata.org/entity/Q6896769,Q6896769,Moloka'i Light,Hawaii,Kalawao County,21.212222,-156.9725,1909,42,65,13,Fl W 10s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/General%20View%20Of%20Lighthouse%20From%20Northwest%20-%20Moloka%27i%20Light%20Station%2C%20Lighthouse%2C%20Makanalua%2CMoloka%27i%20Island%2C%20Kalaupapa%2C%20Kalawao%20County%2C%20HI%20HABS%20HI%2C3-KALA.V%2C5-A-6%20%28CT%29.tif,2006,,,,federalTransfer
http://www.wikidata.org/entity/Q6936687,Q6936687,Munising Front Range Light,Michigan,Munising,46.4151,-86.6611,1908,58,79,13,F R,,http://commons.wikimedia.org/wiki/Special:FilePath/Munising%20Front%20Range%20Light.jpg,2014,,,,federalTransfer
http://www.wikidata.org/entity/Q7354843,Q7354843,Rock of Ages Light,Michigan,Keweenaw County,47.866667,-89.313333,1908,36,36,17,Fl(2) W 10s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/Rock%20of%20Ages%20Light%20%28Keweenaw%20County%2C%20Michigan%29.jpg,2013,,,x,federalTransfer
http://www.wikidata.org/entity/Q4724302,Q4724302,Algoma Pierhead Light,Wisconsin,Algoma,44.6069,-87.4294,1908,"12,5","14,5",16,Iso R 6s,,http://commons.wikimedia.org/wiki/Special:FilePath/AlgomaWisconsinPierheadLighthouse2008.jpg,2016,,,,LocalGov
http://www.wikidata.org/entity/Q4878098,Q4878098,Beaver Island Harbor Light,Michigan,St. James Township,45.7428,-85.5086,1856,12,12,10,Iso R 6s,,http://commons.wikimedia.org/wiki/Special:FilePath/Whiskey%20Point.jpg,2005,,,,LocalGov
http://www.wikidata.org/entity/Q5084261,Q5084261,Charlevoix South Pier Light Station,Michigan,Charlevoix,45.320278,-85.265,1948,12,13,10,Fl R 4s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/Charlevoix%20South%20Pier%20Light%20Station%20%28July%202019%29.jpg,2008,,,,LocalGov
http://www.wikidata.org/entity/Q5095636,Q5095636,Chicago Harbor Light,Illinois,Chicago,41.889444,-87.590556,1893,20,25,24,Fl R 5s,http://www.wikidata.org/entity/Q2222981,http://commons.wikimedia.org/wiki/Special:FilePath/Chicago-lighthouse.jpg,2009,,,,LocalGov
http://www.wikidata.org/entity/Q5161081,Q5161081,Conimicut Light,Rhode Island,Warwick,41.716944,-71.345833,1883,"17,7",17,8,"FI W 2.5s, R sector",http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/Conimicut%20Lighthouse%202007.jpg,2004,,,x,LocalGov
http://www.wikidata.org/entity/Q5337606,Q5337606,Edgartown Harbor Light,Massachusetts,Dukes county,41.39111,-70.50306,1828,"13,5",13,5,Fl R 6s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/Edgartown%20Harbor%20Light%20-%20New%20Paint%201988.jpg,2013,,,,LocalGov
http://www.wikidata.org/entity/Q5471242,Q5471242,Fort Gratiot Light,Michigan,St. Clair County,43.006306,-82.422472,1825,26,25,18,Fl G 6s,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/Fort%20Gratiot%20Light%202015.jpg,2010,,,,LocalGov
http://www.wikidata.org/entity/Q14716104,Q14716104,Frankfort Light,Michigan,Frankfort,44.6306,-86.2522,1873,20,22,16,F W,http://www.wikidata.org/entity/Q19558910,http://commons.wikimedia.org/wiki/Special:FilePath/LightningVolt%20Frankfort%20Lighthouse.jpg,2017,,,,LocalGov
