satImageFN,imageFN,Name,ID,State,County,Latitude,Longitude,Date of inception,Height (m),Focalheight (m),Range (nm),Light characteristic,heritageDesignation,Conveyd Lightstaition,yearOfTransfer,"
proceeds"
Q1687043.png,Q1687043.jpg,Rondout Light,Q1687043,New York,Kingston,41.920833333,-73.9625,1838,15,16,9,Fl W 6s,http://www.wikidata.org/entity/Q19558910,LocalGov,2002,
Q5398653.png,Q5398653.jpg,Esopus Meadows Light,Q5398653,New York,Ulster County,41.868389,-73.941611,1839,17,18,6,Fl W 2.5s,http://www.wikidata.org/entity/Q19558910,ngo,2002,
Q6651703.png,Q6651703.jpg,Little River Light,Q6651703,Maine,Washington County,44.650885,-67.19209556,1846,12,17,13,Fl W 6s,http://www.wikidata.org/entity/Q19558910,ngo,2002,
Q7587188.png,Q7587188.jpg,St. Augustine Light,Q7587188,Florida,St. Augustine,29.8856,-81.2886,1824,50,49,19,FFl W 30s,http://www.wikidata.org/entity/Q19558910,ngo,2002,
Q7859692.png,Q7859692.jpg,Tybee Island Lighthouse and Museum,Q7859692,Georgia,Tybee Island,32.022222222,-80.845638888,1736,44,44,16,F W,,ngo,2002,
Q3560917.png,Q3560917.jpg,Point Retreat Light,Q3560917,Alaska,Juneau,58.411111,-134.953056,1904,"7,6",19,9,Fl W 6s,http://www.wikidata.org/entity/Q19558910,ngo,2003,
Q5161081.png,Q5161081.jpg,Conimicut Light,Q5161081,Rhode Island,Warwick,41.716944,-71.345833,1883,"17,7",17,8,"FI W 2.5s, R sector",http://www.wikidata.org/entity/Q19558910,LocalGov,2004,
Q108901001.png,Q108901001.jpg,Thomas Point Shoal Light,Q108901001,Maryland,Anne Arundel County,38.903389,-76.438570,1875,39,13,16,Fl W 5s (two R sectors),,LocalGov,2004,
Q2790673.png,Q2790673.jpg,Five Finger Islands Light,Q2790673,Alaska,Petersburg Borough,57.270556,-133.630278,1902,"20,7",25,18,Fl W 10s,http://www.wikidata.org/entity/Q19558910,ngo,2004,
Q5598355.png,Q5598355.jpg,Grays Harbor Light,Q5598355,Washington,Grays Harbor County,46.8884,-124.117,1889,33,37,19,Alt WR 30s,http://www.wikidata.org/entity/Q19558910,ngo,2004,
Q5654695.png,Q5654695.jpg,Harbor of Refuge Light,Q5654695,Delaware,Sussex County,38.8146,-75.0924,1908,23,22,16,"FI W 5s, R sector",http://www.wikidata.org/entity/Q1129142,ngo,2004,
